Removed duplicates of file with Size: 123.511.024 bytes; 

$awk '!seen[$0]++' boot_success_b0x2f000000_addr_output_bigger.txt > boot_success_b0x2f000000_addr_output_bigger_cleaned.txt

This Files shows 'all' reads and writes during boot process that are:
> 0x2f000000

Beforehand it was observed that addresses from somewhere in that range are readed during the boot process, w/o beeing written from qemu;
By excluding certain addresses, it was possible to finally boot the kernel again with activated encryption;


~ [No Crypt] addr: 2f22efb0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa49a30; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f22edb8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54bb0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54bc0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54bc4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54c6c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54bdc; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54c0c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54c10; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54c18; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54bb4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54bb8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54c20; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4d840; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54c14; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4d898; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54bbc; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54bd0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54be8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54bec; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54c28; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54c64; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54bf0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54bf8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54c24; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54be4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54bd4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54c08; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f22ffdc; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f22fc20; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54c60; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54bcc; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54c1c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54bc8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54ba0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54b9c; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f22edb4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa55ebc; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa55f04; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54bf4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4d844; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa55f08; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54c68; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54be0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54b98; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa55f0c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa55f10; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa55ed0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54bd8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa55ef8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa55ec0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa55ec8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa55edc; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa55eec; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa55ee0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa55ecc; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa55efc; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa55ee8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa55ed4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa55ef0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa55ec4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa55ef4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa55ee4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa55f00; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa55ed8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa55f14; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54bfc; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54ba4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54bac; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54b24; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54ad8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa549f8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54890; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa55f4c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa55f70; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4d854; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa55f68; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa55f64; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54b40; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa549b8; size: 4; type mem_op_read;
