Removed duplicates of file with Size: 1,4 GB

$awk '!seen[$0]++' boot_success_addr_output_complete.txt > boot_success_addr_output_complete_cleaned.txt


This Files shows 'all' reads and writes during boot process in the following address range:
addr > 0x2f000000 || addr < 0x84F0992

This are all reads/writes that occur during boot process w/o duplicates;
It seems to oscillate between the small addresses near the roms, the higher addresses that are not written by QEMU writes and the rootfs image file.


[TRACE]:


~ [No Crypt] addr: 2f004bb0; size: 4; type mem_op_read;
~ [No Crypt] addr: 80bf204; size: 4; type mem_op_read;
~ [No Crypt] addr: 80e8000; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e7000; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e9002; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e900a; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e9012; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e901a; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e9022; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e902a; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e9032; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e903a; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e9042; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e904a; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e9052; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e905a; size: 2; type mem_op_read;
~ [No Crypt] addr: 80e7000; size: 8; type mem_op_write;
~ [No Crypt] addr: 80e7008; size: 8; type mem_op_read;
~ [No Crypt] addr: 2f004bb8; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004bc0; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004bbc; size: 4; type mem_op_read;
~ [No Crypt] addr: 80bfbe4; size: 4; type mem_op_read;
~ [No Crypt] addr: 80beff8; size: 4; type mem_op_read;
~ [No Crypt] addr: 2fffa808; size: 4; type mem_op_read;
~ [No Crypt] addr: 8117004; size: 4; type mem_op_read;
~ [No Crypt] addr: 8117bc0; size: 4; type mem_op_read;
~ [No Crypt] addr: 8117bcc; size: 4; type mem_op_read;
~ [No Crypt] addr: 811700c; size: 4; type mem_op_read;
~ [No Crypt] addr: 8117014; size: 4; type mem_op_read;
~ [No Crypt] addr: 8117024; size: 4; type mem_op_read;
~ [No Crypt] addr: 8117200; size: 4; type mem_op_read;
~ [No Crypt] addr: 811701c; size: 4; type mem_op_read;
~ [No Crypt] addr: 8117bfc; size: 4; type mem_op_read;
~ [No Crypt] addr: 8117bdc; size: 4; type mem_op_read;
~ [No Crypt] addr: 8117be0; size: 4; type mem_op_read;
~ [No Crypt] addr: 8117008; size: 4; type mem_op_read;
~ [No Crypt] addr: 8117ffc; size: 4; type mem_op_read;
~ [No Crypt] addr: 8117e3c; size: 4; type mem_op_read;
~ [No Crypt] addr: 8117bb0; size: 4; type mem_op_read;
~ [No Crypt] addr: 8117010; size: 4; type mem_op_read;
~ [No Crypt] addr: 8117018; size: 4; type mem_op_read;
~ [No Crypt] addr: 8117204; size: 4; type mem_op_read;
~ [No Crypt] addr: 8117000; size: 4; type mem_op_read;
~ [No Crypt] addr: 8117ff8; size: 4; type mem_op_read;
~ [No Crypt] addr: 8117bf4; size: 4; type mem_op_read;
~ [No Crypt] addr: 8117be4; size: 4; type mem_op_read;
~ [No Crypt] addr: 8114000; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4d89c; size: 4; type mem_op_read;
~ [No Crypt] addr: 8116dbc; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54c7c; size: 4; type mem_op_read;
~ [No Crypt] addr: 8116fa4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa49d60; size: 4; type mem_op_read;
~ [No Crypt] addr: 8116db8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54bbc; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54bcc; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54bd0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54c78; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54be8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54c18; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54c1c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54c24; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54bc0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54bc4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54c2c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4d840; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54c20; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4d898; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54bc8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54bdc; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54bf4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54bf8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54c34; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54c70; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54bfc; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54c04; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54c30; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54bf0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54be0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54c14; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54c6c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54bd8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54c28; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54bd4; size: 4; type mem_op_read;
~ [No Crypt] addr: 8117bc4; size: 4; type mem_op_read;
~ [No Crypt] addr: 8117c20; size: 4; type mem_op_read;
~ [No Crypt] addr: 8117fdc; size: 4; type mem_op_read;
~ [No Crypt] addr: 8117bc8; size: 4; type mem_op_read;
~ [No Crypt] addr: 80e6602; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e660a; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e6612; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e661a; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e6622; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e662a; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e6632; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e663a; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e6642; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e664a; size: 4; type mem_op_read;
~ [No Crypt] addr: 80e664e; size: 2; type mem_op_read;
